rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
551,0.4,2.0,0.4,0.9,4.657737684533224,0,10
552,0.0,1.0,0.6,0.9,4.658503290151351,0,10
553,0.1,1.75,0.4,0.9,4.658850309478977,0,10
554,0.3,1.75,0.4,0.9,4.659359181114915,0,10
555,0.4,1.5,0.75,0.9,4.659370084194896,0,10
556,0.2,0.75,0.25,0.9,4.660995972560941,0,10
557,0.4,0.75,0.8,0.9,4.661423996843104,0,10
558,0.5,2.5,0.6,0.9,4.662147571365153,0,10
559,0.0,3.0,0.2,0.9,4.662166118936365,12,9
560,0.4,1.0,0.6,0.9,4.6652099572281145,0,10
561,0.4,1.5,0.8,0.9,4.665435259677557,0,10
562,0.4,2.75,0.2,0.9,4.6659121091325915,0,10
563,0.5,2.25,0.6,0.9,4.66612787453203,0,10
564,0.5,1.5,0.8,0.9,4.666631285681288,0,10
565,0.0,1.0,0.7,0.9,4.6671100355823585,0,10
566,0.3,1.25,1.0,0.9,4.667428326434634,0,10
567,0.4,1.0,0.9,0.9,4.669046924386195,0,10
568,0.0,1.0,0.9,0.9,4.669963909146509,0,10
569,0.0,1.0,0.8,0.9,4.670382979243759,0,10
570,0.5,2.75,0.5,0.9,4.670723746303185,0,10
571,0.3,2.5,0.3,0.9,4.670778329379296,4,9
572,0.1,2.5,0.3,0.9,4.672044768323196,4,9
573,0.0,2.5,0.4,0.9,4.673145057401254,9,9
574,0.1,1.0,0.4,0.9,4.673235203494963,0,10
575,0.0,1.25,0.6,0.9,4.67377888104747,0,10
576,0.1,0.75,0.4,0.9,4.674045262503748,0,10
577,0.5,1.25,0.9,0.9,4.674363523508961,0,10
578,0.0,1.0,0.75,0.9,4.67472624133756,0,10
579,0.5,3.0,0.5,0.9,4.674877015256139,0,10
580,0.4,1.0,0.7,0.9,4.675151302734751,0,10
581,0.4,2.25,0.4,0.9,4.676267315205818,0,10
582,0.3,3.0,0.1,0.9,4.676592667373672,4,9
583,0.3,1.0,0.9,0.9,4.678241136269292,0,10
584,0.0,2.75,0.3,0.9,4.678633136806684,12,9
585,0.3,1.75,1.0,0.9,4.679315541263615,0,10
586,0.4,1.5,0.9,0.9,4.6817912390320435,0,10
587,0.5,2.5,0.7,0.9,4.682329757556672,0,10
588,0.4,2.25,1.0,0.9,4.683402358618629,0,10
589,0.3,1.5,1.0,0.9,4.6858691390477745,0,10
590,0.4,3.0,0.2,0.9,4.6863063951118376,0,10
591,0.4,1.0,0.75,0.9,4.686908073006284,0,10
592,0.0,1.5,0.6,0.9,4.688178925130598,0,10
593,0.2,1.0,0.3,0.9,4.6888280871555565,0,10
594,0.4,2.75,0.25,0.9,4.6889051378904085,0,10
595,0.3,0.75,0.4,0.9,4.688914602746811,0,10
596,0.4,1.0,0.8,0.9,4.68902808771574,0,10
597,0.0,1.75,0.6,0.9,4.689204142042903,0,10
598,0.4,2.0,1.0,0.9,4.689422598268046,0,10
599,0.5,2.25,1.0,0.9,4.689975366783082,0,10
600,0.0,3.0,0.25,0.9,4.68999391924292,12,9
601,0.3,2.75,0.2,0.9,4.690225424249364,4,9
602,0.4,1.25,0.6,0.9,4.6907181479171545,0,10
603,0.5,2.5,0.75,0.9,4.691034692922348,0,10
604,0.5,2.0,0.7,0.9,4.692486719848289,0,10
605,0.0,2.0,0.5,0.9,4.695642399707426,0,10
606,0.3,0.75,0.75,0.9,4.69567953828481,0,10
607,0.0,1.25,0.7,0.9,4.697125079423721,0,10
608,0.3,0.75,0.7,0.9,4.6971946988481195,0,10
609,0.5,3.0,0.6,0.9,4.697841947570502,0,10
610,0.5,2.5,0.8,0.9,4.6987034265934,0,10
611,0.3,0.75,0.8,0.9,4.6987373199693465,0,10
612,0.4,2.0,0.5,0.9,4.699709021164258,0,10
613,0.5,2.75,0.6,0.9,4.700013202783768,0,10
614,0.5,1.5,0.9,0.9,4.700561649059209,0,10
615,0.6,2.0,1.0,0.9,4.701488242533368,0,10
616,0.5,1.0,1.0,0.9,4.702238176197103,0,10
617,0.4,2.5,0.4,0.9,4.7025997983637,0,10
618,0.3,1.5,0.5,0.9,4.702956667432175,0,10
619,0.4,2.25,0.9,0.9,4.703640955545806,0,10
620,0.4,2.5,1.0,0.9,4.704398148014883,0,10
621,0.3,1.0,0.8,0.9,4.704442418961041,0,10
622,0.4,3.0,0.25,0.9,4.70638191763768,0,10
623,0.5,2.25,0.7,0.9,4.707509306297709,0,10
624,0.4,2.75,0.3,0.9,4.708139569943483,0,10
625,0.0,1.75,0.7,0.9,4.708201312320963,0,10
626,0.0,1.75,0.75,0.9,4.7090651115065025,0,10
627,0.0,3.0,0.3,0.9,4.709395738952893,12,9
628,0.5,2.0,0.75,0.9,4.709586921852401,0,10
629,0.5,2.5,0.9,0.9,4.709596847929716,0,10
630,0.0,1.5,0.7,0.9,4.71111470426658,0,10
631,0.0,1.75,0.8,0.9,4.711148973968917,0,10
632,0.3,1.5,0.8,0.9,4.711959984724878,0,10
633,0.3,1.0,0.75,0.9,4.712063933761045,0,10
634,0.3,1.5,0.9,0.9,4.7121214151228035,0,10
635,0.5,2.0,0.8,0.9,4.712363180862955,0,10
636,0.5,2.5,1.0,0.9,4.71288139566932,0,10
637,0.4,2.25,0.5,0.9,4.712882165315257,0,10
638,0.0,1.25,0.75,0.9,4.713154222417475,0,10
639,0.5,2.0,1.0,0.9,4.7140504458169765,0,10
640,0.4,2.0,0.9,0.9,4.714698677175811,0,10
641,0.3,2.0,0.4,0.9,4.715037213346561,0,10
642,0.2,0.75,0.3,0.9,4.715970915595657,0,10
643,0.5,3.0,0.7,0.9,4.716120725546589,0,10
644,0.4,2.25,0.8,0.9,4.716789072535897,0,10
645,0.2,2.0,0.3,0.9,4.717207879521544,0,10
646,0.3,1.5,0.75,0.9,4.717474235822103,0,10
647,0.3,0.75,0.9,0.9,4.717926929562768,0,10
648,0.1,0.75,0.5,0.9,4.718512779566127,0,10
649,0.3,1.0,0.7,0.9,4.719327243773868,0,10
650,0.4,2.0,0.8,0.9,4.719500417460579,0,10
651,0.4,2.0,0.75,0.9,4.719789071612411,0,10
652,0.3,1.5,0.7,0.9,4.71996444286193,0,10
653,0.3,1.5,0.6,0.9,4.720084034540487,0,10
654,0.1,2.0,0.4,0.9,4.720502789774471,0,10
655,0.4,2.25,0.75,0.9,4.721845379118695,0,10
656,0.3,2.25,0.4,0.9,4.722010255164459,2,9
657,0.4,2.0,0.6,0.9,4.7223548361321335,0,10
658,0.0,2.75,0.4,0.9,4.722355810593779,12,9
659,0.4,3.0,0.3,0.9,4.722457806591093,0,10
660,0.3,1.0,0.5,0.9,4.722466018703997,0,10
661,0.5,2.0,0.9,0.9,4.722928941352235,0,10
662,0.4,2.0,0.7,0.9,4.72293998921759,0,10
663,0.5,2.25,0.75,0.9,4.723273556578878,0,10
664,0.5,3.0,0.75,0.9,4.725317794977473,0,10
665,0.5,2.75,0.7,0.9,4.7253422326156915,0,10
666,0.4,2.25,0.7,0.9,4.7255503764880356,0,10
667,0.3,0.75,0.6,0.9,4.7279034538255775,0,10
668,0.3,1.25,0.5,0.9,4.728366539451849,0,10
669,0.4,2.25,0.6,0.9,4.729045104622336,0,10
670,0.4,0.75,0.9,0.9,4.72938890935394,0,10
671,0.3,2.75,0.25,0.9,4.729949414101534,4,9
672,0.0,1.75,1.0,0.9,4.730177297511679,0,10
673,0.4,2.5,0.9,0.9,4.730444272936463,0,10
674,0.2,2.25,0.3,0.9,4.73052864424661,3,9
675,0.1,1.0,0.5,0.9,4.731116667561882,0,10
676,0.1,2.25,0.4,0.9,4.732710300198798,0,10
677,0.3,1.0,0.6,0.9,4.734016576977358,0,10
678,0.0,1.75,0.9,0.9,4.7340504962376055,0,10
679,0.0,1.25,0.8,0.9,4.734370017832304,0,10
