rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
889,0.3,2.0,0.0,0.9,4.9335969021326385,46,7
890,0.4,2.0,0.0,0.9,4.9335969021326385,46,7
891,0.5,2.0,0.0,0.9,4.9335969021326385,46,7
892,0.6,2.0,0.0,0.9,4.9335969021326385,46,7
893,0.7,2.0,0.0,0.9,4.9335969021326385,46,7
894,0.3,3.0,0.9,0.9,4.934184062976963,4,9
895,0.3,2.5,0.7,0.9,4.934659467732027,4,9
896,0.1,3.0,0.9,0.9,4.9354851854566455,5,9
897,0.0,2.25,0.8,0.9,4.9362023433566495,1,9
898,0.1,2.75,0.7,0.9,4.93887186386682,5,9
899,0.1,2.5,0.6,0.9,4.939429572455329,4,9
900,0.3,2.75,0.75,0.9,4.939775510794749,4,9
901,0.3,3.0,1.0,0.9,4.940512818809635,4,9
902,0.3,2.5,0.8,0.9,4.9410498448982345,4,9
903,0.3,2.5,0.75,0.9,4.941352502321373,4,9
904,0.2,1.25,0.5,0.9,4.9416429642261654,0,10
905,0.1,3.0,1.0,0.9,4.9451744313056265,5,9
906,0.1,2.75,0.75,0.9,4.948828776390628,5,9
907,0.0,2.25,0.9,0.9,4.950131664257016,1,9
908,0.0,2.25,1.0,0.9,4.952027915021041,1,9
909,0.3,2.75,0.8,0.9,4.952258511652442,4,9
910,0.0,2.5,0.75,0.9,4.953270729236977,9,9
911,0.1,2.75,0.8,0.9,4.955644392037249,5,9
912,0.2,0.75,0.6,0.9,4.959411292218744,0,10
913,0.0,2.5,0.8,0.9,4.963413582911682,9,9
914,0.1,2.75,0.9,0.9,4.969954774434968,5,9
915,0.2,1.0,0.6,0.9,4.971171758837026,0,10
916,0.7,1.0,1.0,0.9,4.9748644373304405,5,8
917,0.3,2.75,0.9,0.9,4.9750573552527735,4,9
918,0.3,2.75,1.0,0.9,4.975911576099098,4,9
919,0.1,2.25,0.7,0.9,4.976059960965062,0,10
920,0.0,2.5,0.9,0.9,4.98118598956518,9,9
921,0.2,1.5,0.9,0.9,4.983223283367446,0,10
922,0.2,0.75,0.7,0.9,4.9833715675715045,0,10
923,0.2,1.5,0.6,0.9,4.984234574341953,0,10
924,0.2,2.75,0.25,0.9,4.984493661699568,12,9
925,0.0,0.75,1.0,0.9,4.985617101097289,0,10
926,0.2,2.5,0.4,0.9,4.987435848911439,12,9
927,0.2,1.0,0.7,0.9,4.988323940618684,0,10
928,0.1,2.5,0.7,0.9,4.989192952158813,4,9
929,0.1,2.25,0.75,0.9,4.991130188530844,0,10
930,0.1,1.0,1.0,0.9,4.9922410425207415,0,10
931,0.2,1.5,0.8,0.9,4.992631644205611,0,10
932,0.2,0.75,0.75,0.9,4.993140535122084,0,10
933,0.2,1.25,0.6,0.9,4.993219130643919,0,10
934,0.2,0.75,0.8,0.9,4.995099991292075,0,10
935,0.1,2.5,0.75,0.9,4.996806264586313,4,9
936,0.0,1.0,1.0,0.9,4.996937296994386,0,10
937,0.2,1.0,0.8,0.9,4.9977462535966986,0,10
938,0.2,1.0,0.75,0.9,4.998874072688956,0,10
939,0.2,1.75,0.6,0.9,4.999389188214774,0,10
940,0.1,2.75,1.0,0.9,4.999613168069198,5,9
941,0.0,2.5,1.0,0.9,5.002201820004652,9,9
942,0.1,2.5,0.8,0.9,5.002777503490069,4,9
943,0.1,2.25,0.8,0.9,5.002896406384375,0,10
944,0.2,1.5,0.75,0.9,5.003244236864721,0,10
945,0.2,1.0,0.9,0.9,5.0032683133971485,0,10
946,0.2,1.75,0.9,0.9,5.007961856993064,0,10
947,0.2,0.75,0.9,0.9,5.010608049851154,0,10
948,0.2,1.5,0.7,0.9,5.012578766437029,0,10
949,0.1,2.25,1.0,0.9,5.013105487299875,0,10
950,0.1,2.5,0.9,0.9,5.016023926950832,4,9
951,0.2,2.75,0.3,0.9,5.020362307212133,12,9
952,0.2,3.0,0.2,0.9,5.02838268341071,12,9
953,0.2,1.75,0.8,0.9,5.028527107619485,0,10
954,0.1,2.25,0.9,0.9,5.02926093854953,0,10
955,0.2,1.75,0.75,0.9,5.031618020165247,0,10
956,0.2,2.0,0.5,0.9,5.031936985358489,0,10
957,0.2,1.75,0.7,0.9,5.03351152846996,0,10
958,0.2,1.25,0.7,0.9,5.039045548187249,0,10
959,0.1,2.5,1.0,0.9,5.040759273662876,4,9
960,0.2,1.25,0.75,0.9,5.052840664242096,0,10
961,0.2,2.0,1.0,0.9,5.058123982050377,0,10
962,0.2,3.0,0.25,0.9,5.059974444231727,12,9
963,0.2,2.25,0.5,0.9,5.0610367581932225,3,9
964,0.2,2.25,1.0,0.9,5.066299759566905,3,9
965,0.2,1.25,0.8,0.9,5.0677363967165885,0,10
966,0.2,3.0,0.3,0.9,5.068349741275762,12,9
967,0.2,2.75,0.4,0.9,5.0690076527317816,12,9
968,0.2,2.5,0.5,0.9,5.077284083203324,12,9
