Date,method,gross_return,net_return,rf,gross_turnover,conditioning_alpha,pre_lambda_min,rank_pre_conditioning,correlation_identity_shrinkage_alpha,matched_correlation_kappa
2000-10-31,SRE_STAR,-0.010156911809266173,-0.010206870742290097,0.0051672547259051,0.0504715682919414,0.0,0.18450162230652795,10,,
2000-10-31,GS_STAR,-0.010019511199674551,-0.010056090497472803,0.0051672547259051,0.03694951386623361,0.0,0.3508646329261026,10,,
2000-10-31,ID_KAPPA,-0.007925123480929283,-0.007986330523048313,0.0051672547259051,0.06169599046167776,0.0,0.13141277225982895,10,0.08259981657719156,30.932078368471156
2000-10-31,EW,-0.033398800146501456,-0.033433427869305476,0.0051672547259051,0.03582420838011702,0.0,,10,,
2000-11-30,AIQ,0.0018841604525072538,0.0016400309615960396,0.0050332980619396,0.24367037682380938,0.0,0.08418049170292465,10,,
2000-11-30,HC,0.0043599346160336765,0.004062632637017005,0.0050332980619396,0.29601138871642946,0.0,0.06944144318881691,10,,
2000-11-30,LS1,-0.004506724191587097,-0.004621260832402552,0.0050332980619396,0.11505516270062807,0.0,0.15021447986259492,10,,
2000-11-30,LS2,-0.004460017325801595,-0.0045848457551393995,0.0050332980619396,0.12538766047598696,0.0,0.13718688424639588,10,,
2000-11-30,LS3,0.004264829094360105,0.003973641787880844,0.0050332980619396,0.2899507162288205,0.0,0.2371229281226907,10,,
2000-11-30,LS4,0.0041013190828720885,0.0038097342881677765,0.0050332980619396,0.2903937970827761,0.0,0.1886599797892818,10,,
2000-11-30,LS5,0.004203731909302291,0.003906460043312965,0.0050332980619396,0.2960274459685365,0.0,0.20594880462533122,10,,
2000-11-30,NLS6,-0.0017320956024936855,-0.001971452476844049,0.0050332980619396,0.23977218269366077,0.0,0.14683004172976752,10,,
2000-11-30,NLS7,-0.001495998569067394,-0.0017417393500019918,0.0050332980619396,0.24610895958603557,0.0,0.140060374218572,10,,
2000-11-30,NLS8,-0.0019679983124058767,-0.002200284351895565,0.0050332980619396,0.23274407944515996,0.0,0.1533405830230483,10,,
2000-11-30,CRE,0.004239659575214252,0.003940682132049345,0.0050332980619396,0.29771523193120086,0.0,0.47578178905427404,10,,
2000-11-30,SRE_STAR,0.004222890000742745,0.003925805308350627,0.0050332980619396,0.2958354119889254,0.0,0.1810800749899801,10,,
2000-11-30,GS_STAR,0.005472762112818777,0.005090804672162719,0.0050332980619396,0.37987845623338135,0.0,0.27486651606266793,10,,
2000-11-30,ID_KAPPA,0.004311318687647225,0.0040136249685434056,0.0050332980619396,0.2964157762286096,0.0,0.09184425331500108,10,0.024074583982069662,45.93389215476591
2000-11-30,EW,-0.045420793407729435,-0.045442315862322835,0.0050332980619396,0.022546536154216465,0.0,,10,,
