period,method,n_months,first_date,last_date,realised_vol_10bp_pct,sharpe_10bp,max_drawdown_10bp_pct,es95_10bp_pct,downside_deviation_10bp_pct,terminal_wealth_10bp_from_100
2005-2009,GS_STAR,60,2005-01-31,2009-12-31,4.418254194426184,0.42476750187674855,7.218723508728752,2.9145410606243427,2.8561715185920846,125.39030473635215
2005-2009,HC,60,2005-01-31,2009-12-31,4.232728117940619,0.4705093349676681,6.838791043491799,2.6430741983240984,2.5611481968311463,126.16108420433085
2005-2009,ID_KAPPA,60,2005-01-31,2009-12-31,4.217435765224323,0.4780038529676678,6.8065866414213305,2.624779047016608,2.544784051928176,126.31863005767742
2005-2009,LS1,60,2005-01-31,2009-12-31,7.809281585314094,0.33858387522089234,17.92000799794544,5.926186929647104,5.7551051143452,128.90302912011018
2005-2009,LS2,60,2005-01-31,2009-12-31,7.0257636191307355,0.3100116164564525,16.523896352551304,5.339320657159888,5.279388402622365,126.31724890486132
2005-2009,LS3,60,2005-01-31,2009-12-31,3.956857458734138,0.48612396415686965,5.583648678727238,2.265522276708791,2.25719944650396,125.80556751716313
2005-2009,LS4,60,2005-01-31,2009-12-31,4.234267093916867,0.46174419659171545,7.208392103970507,2.6495401494319353,2.58032269762449,125.93210201568326
2005-2009,LS5,60,2005-01-31,2009-12-31,4.148062229947573,0.39873915724662357,7.12991271031126,2.6705039715418195,2.567696821910912,124.07899248951584
2005-2009,NLS6,60,2005-01-31,2009-12-31,4.852436303087393,0.4512301241312725,9.161761813617375,3.380309842603424,3.243908485384142,127.22997731038852
2005-2009,NLS7,60,2005-01-31,2009-12-31,4.800155593281683,0.440700978216642,9.061786697286944,3.3471299320557812,3.2025080371479877,126.77720323041981
2005-2009,NLS8,60,2005-01-31,2009-12-31,4.910271783764436,0.46188874425686416,9.26410051983816,3.4161372515692214,3.2884429097672285,127.7097884749963
2005-2009,SRE_STAR,60,2005-01-31,2009-12-31,4.293522590113201,0.3778257664909759,7.990881729800014,2.8566690124788257,2.721065293860996,123.84440086886133
2010-2014,AIQ,60,2010-01-31,2014-12-31,2.7706616234157604,1.2942573205338739,3.458018609363378,1.614171401847338,1.617660156877621,119.82369427284492
2010-2014,CRE,60,2010-01-31,2014-12-31,2.7000043506454188,1.7471085094625831,3.34704631541618,1.4744175064489475,1.387713054352299,126.78397963098978
2010-2014,EW,60,2010-01-31,2014-12-31,11.374622828352148,0.7040536014717976,14.432326103261017,7.125055284910971,6.971407154545585,144.95141880808006
2010-2014,GS_STAR,60,2010-01-31,2014-12-31,2.7974733319464407,1.4358461927560429,3.433110333174383,1.6108259877121611,1.5772052205350322,122.4198786728109
2010-2014,HC,60,2010-01-31,2014-12-31,2.731776501971494,1.4582219973967814,3.0005378735109556,1.4632393444460914,1.5089052552851394,122.22844771343904
2010-2014,ID_KAPPA,60,2010-01-31,2014-12-31,2.7135294144235633,1.4786841570531124,2.963984333653469,1.4572817132587326,1.4950061039910973,122.40768123008014
2010-2014,LS1,60,2010-01-31,2014-12-31,3.994475066189836,1.3593606303892312,5.329339126504006,2.1981381152550035,2.3281383644214673,131.08520516496628
2010-2014,LS2,60,2010-01-31,2014-12-31,3.7763685938591927,1.3695805890907906,5.626407939977163,2.2765311541215456,2.2920350807509213,129.46612179133143
2010-2014,LS3,60,2010-01-31,2014-12-31,2.6319787828214083,1.6251742382995076,3.6168098622805234,1.4475274803326963,1.369735894809397,124.0478267979901
2010-2014,LS4,60,2010-01-31,2014-12-31,2.7016999457382886,1.5151710237076905,3.051942542090913,1.4886966782926594,1.4815492613455101,122.9051843377876
2010-2014,LS5,60,2010-01-31,2014-12-31,2.698823497974606,1.7626254128644723,3.386235566018203,1.4791587570631335,1.3783427011079257,127.03582804687095
2010-2014,NLS6,60,2010-01-31,2014-12-31,2.8143477565317503,1.4647533084908715,3.4245927724921743,1.5098387374589461,1.5868219255143787,123.06280127457802
2010-2014,NLS7,60,2010-01-31,2014-12-31,2.795215076355204,1.4662527532307155,3.3557305631594203,1.4960836376522604,1.5741828630943016,122.91998024990714
2010-2014,NLS8,60,2010-01-31,2014-12-31,2.8385037170105436,1.4702631772610808,3.4966352803966427,1.5241196280090499,1.6001376338176443,123.37193027067441
2010-2014,SRE_STAR,60,2010-01-31,2014-12-31,2.708793160062507,1.7072739095993479,3.3776334591513857,1.495186786024901,1.4101000868553046,126.19943310044721
2015-2019,AIQ,60,2015-01-31,2019-12-31,2.8733302119818447,0.8748557057678361,3.0795583573733576,1.5645514359102182,1.5429263789502283,119.385069775036
2015-2019,CRE,60,2015-01-31,2019-12-31,3.1728157666259973,0.9028095670205779,3.5704645277109925,1.6926812081625202,1.6426223926618349,121.43683444195167
2015-2019,EW,60,2015-01-31,2019-12-31,8.536507631461761,0.6623054212593857,12.0704509246229,4.7711190072651535,5.212831849484235,137.40795645444328
2015-2019,GS_STAR,60,2015-01-31,2019-12-31,2.9563725863181323,0.9029980715339812,3.358492076913333,1.5583980605693513,1.5586376506239474,120.30205210415717
2015-2019,HC,60,2015-01-31,2019-12-31,2.9243343264605537,0.9409919488644592,2.949893074500276,1.6421061520526654,1.5643284810421345,120.80133458569836
2015-2019,ID_KAPPA,60,2015-01-31,2019-12-31,2.9133327689707134,0.9424916345155194,2.9553418803928144,1.6410346781529677,1.5603634502781603,120.76719986461859
2015-2019,LS1,60,2015-01-31,2019-12-31,5.080952444259994,0.8987734283979462,5.728517950430323,2.715108106328397,2.804493896208141,131.67432045405894
2015-2019,LS2,60,2015-01-31,2019-12-31,4.843303772540033,0.9258733728168588,5.482460567097858,2.562317619467706,2.6608879888415595,131.21104445539615
2015-2019,LS3,60,2015-01-31,2019-12-31,2.9014414480985504,0.8366358695232515,3.1374094793036322,1.6000415623558621,1.5612464573634959,118.86774053849898
2015-2019,LS4,60,2015-01-31,2019-12-31,2.92933436481372,0.9426189024882774,3.0349502990112187,1.6710982904938592,1.606005580011276,120.85736545971228
2015-2019,LS5,60,2015-01-31,2019-12-31,3.039962623717714,0.8557846961424856,3.0382405700142834,1.589822331470292,1.5392789930015198,119.88019963961452
2015-2019,NLS6,60,2015-01-31,2019-12-31,3.04316451746386,0.9144723019410895,3.084768221226708,1.7805282364913484,1.6929715452287937,120.96787273916654
2015-2019,NLS7,60,2015-01-31,2019-12-31,3.0331494095954157,0.9104630121230074,3.0503218568806,1.775871463970798,1.6836585730930411,120.8412094105596
2015-2019,NLS8,60,2015-01-31,2019-12-31,3.0571103009540783,0.9153504238706278,3.1383314910243043,1.7838577561029911,1.704693407040913,121.05845452407593
2015-2019,SRE_STAR,60,2015-01-31,2019-12-31,3.176980334246456,0.8940069458730239,3.7500017232969585,1.6883449229835756,1.641238855569707,121.28967372692343
2020-2024,AIQ,60,2020-01-31,2024-12-31,6.110857771946244,-0.3766062250141257,16.376260582962963,3.840664914102221,4.460719120910659,100.30810613771695
2020-2024,CRE,60,2020-01-31,2024-12-31,6.4078872124463935,-0.4854141174699142,18.542653881647453,4.091973819571693,4.639526969382279,96.2442559385844
2020-2024,EW,60,2020-01-31,2024-12-31,13.988291714179418,0.3650791228904163,20.222253667346834,9.489934720613151,9.511416735674496,139.50741532018455
2020-2024,GS_STAR,60,2020-01-31,2024-12-31,6.504755330393866,-0.3703484369941405,18.162174336112958,4.324589064052401,4.76183358388055,99.64693756942786
2020-2024,HC,60,2020-01-31,2024-12-31,6.071110565850514,-0.4749535813704088,16.553883186357453,4.039060792036561,4.539742392597051,97.44107124413604
2020-2024,ID_KAPPA,60,2020-01-31,2024-12-31,6.087812491920346,-0.47742635126548066,16.60554216721586,4.054788055240136,4.559857167119,97.32410093512296
2020-2024,LS1,60,2020-01-31,2024-12-31,7.29095698297742,-0.08564261510818165,16.126719443714833,4.946038578376481,5.063774182246233,108.65025589385206
2020-2024,LS2,60,2020-01-31,2024-12-31,6.852061439349096,-0.1888234267817675,15.756374254210193,4.827363320613839,4.9493588843190714,105.23579742120575
2020-2024,LS3,60,2020-01-31,2024-12-31,6.263161688553151,-0.547791788659302,18.70424221717524,4.121575835993763,4.684942361507178,94.75431046302843
2020-2024,LS4,60,2020-01-31,2024-12-31,6.190431873460895,-0.5102331423535161,17.816689154546516,4.151189150573139,4.699194067042646,96.07386978907057
2020-2024,LS5,60,2020-01-31,2024-12-31,6.425943924524298,-0.4142797125462239,18.26909174142176,4.003506233132425,4.6057556267129645,98.42126107988203
2020-2024,NLS6,60,2020-01-31,2024-12-31,6.391313985488782,-0.41602520851634944,17.493623939638514,4.4069470519312395,4.835099566954149,98.44236819324527
2020-2024,NLS7,60,2020-01-31,2024-12-31,6.368972378146832,-0.4293334828691215,17.518407271360424,4.388297154264405,4.836354373511638,98.0782187336514
2020-2024,NLS8,60,2020-01-31,2024-12-31,6.411886481386135,-0.40192990404968,17.42929408059508,4.431085472363283,4.830377271192996,98.8397962578371
2020-2024,SRE_STAR,60,2020-01-31,2024-12-31,6.377784994567266,-0.4657079059518119,18.6063387328396,4.070986675295107,4.6444310754153895,96.93042898367709
